SRL #,Date -Sampled-,Sample Site,Shellfish -code-,Mod-PSP Median,PSP -ug/100 g-,County,Sample Type,Species,Latitude,Longitude
M22P000436,6/16/22,Dillon Beach,MUSW,n,,Marin,"Sea Mussel, wild",Mytilus californianus,38.2423,-122.9681
M22P000442,6/22/22,Santa Cruz Wharf,MUSS,n,,Santa Cruz,"Sea Mussel, Sentinel",Mytilus californianus,36.957391,-122.017638
M22P000443,6/24/22,"Drakes Bay, Chimney Rock LBS",MUSS,n,,Marin,"Sea Mussel, Sentinel",Mytilus californianus,37.994808,-122.973274
M22P000444,6/27/22,"Tomales Bay, Lease #M430-06-M",MUBC,n,,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.139,-122.8783
M22P000445,6/27/22,"Tomales Bay, Lease #M430-15-M",MUSS,n,,Marin,"Sea Mussel, Sentinel",Mytilus californianus,38.2176,-122.9437
M22P000446,6/27/22,"Tomales Bay, Lease #M430-17",OYPC,<,34,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.20509,-122.93105
M22P000455,6/29/22,Santa Cruz Wharf,MUSS,n,,Santa Cruz,"Sea Mussel, Sentinel",Mytilus californianus,36.957391,-122.017638
M22P000457,7/5/22,"Tomales Bay, Lease #M430-17",OYPC,<,34,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.20509,-122.93105
M22P000458,7/4/22,"Tomales Bay, Lease #M430-15-M",MUSS,n,,Marin,"Sea Mussel, Sentinel",Mytilus californianus,38.2176,-122.9437
M22P000459,7/5/22,"Tomales Bay, Lease #M430-06-M",MUBC,n,,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.139,-122.8783
M22P000460,7/1/22,Schoolhouse Beach,MUSW,n,,Sonoma,"Sea Mussel, wild",Mytilus californianus,38.375,-123.079084
M22P000461,7/1/22,"Bodega Harbor, USCG Dock",MUSS,n,,Sonoma,"Sea Mussel, Sentinel",Mytilus californianus,38.3127654,-123.051303
M22P000462,7/1/22,Rodeo Beach,MUSW,n,,Marin,"Sea Mussel, wild",Mytilus californianus,37.82797,-122.53495
M22P000468,6/30/22,Bean Hollow State Beach,MUSW,n,,San Mateo,"Sea Mussel, wild",Mytilus californianus,37.2243,-122.4095
M22P000470,7/5/22,"Bodega Bay, Shorttail Gulch",MUSW,n,,Sonoma,"Sea Mussel, wild",Mytilus californianus,38.302938,-123.013176
M22P000476,7/6/22,Santa Cruz Wharf,MUSS,n,,Santa Cruz,"Sea Mussel, Sentinel",Mytilus californianus,36.957391,-122.017638
M22P000477,7/11/22,"Tomales Bay, Lease #M430-06-M",MUBC,n,,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.139,-122.8783
M22P000478,7/11/22,"Tomales Bay, Lease #M430-17",OYPC,<,35,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.20509,-122.93105
M22P000479,7/11/22,"Monterey Bay, Commercial Wharf",MUSW,n,,Monterey,"Sea Mussel, wild",Mytilus californianus,36.605724,-121.889411
M22P00048,1/16/22,"Santa Cruz, Davenport Landing",MUSW,<,36,Santa Cruz,"Sea Mussel, wild",Mytilus californianus,37.024226,-122.21606
M22P000487,7/12/22,"Tomales Bay, Lease #M430-15-M",MUBC,n,,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.2176,-122.9437
M22P000490,7/13/22,Santa Cruz Wharf,MUSS,n,,Santa Cruz,"Sea Mussel, Sentinel",Mytilus californianus,36.957391,-122.017638
M22P000491,7/18/22,"Tomales Bay, Lease #M430-06-M",MUBC,n,,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.139,-122.8783
M22P000492,7/18/22,"Tomales Bay, Lease #M430-17",OYPC,<,35,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.20509,-122.93105
M22P000493,7/18/22,"Tomales Bay, Lease #M430-15-M",MUSS,n,,Marin,"Sea Mussel, Sentinel",Mytilus californianus,38.2176,-122.9437
M22P00050,1/14/22,"Drakes Bay, Chimney Rock LBS",MUSS,<,35,Marin,"Sea Mussel, Sentinel",Mytilus californianus,37.994808,-122.973274
M22P000503,7/16/22,"Santa Cruz, Davenport Landing",MUSW,n,,Santa Cruz,"Sea Mussel, wild",Mytilus californianus,37.024226,-122.21606
M22P000504,7/12/22,"Bodega Harbor, USCG Dock",MUSS,n,,Sonoma,"Sea Mussel, Sentinel",Mytilus californianus,38.3127654,-123.051303
M22P000506,7/19/22,Kashia Coastal Reserve,MUSW,n,,Sonoma,"Sea Mussel, wild",Mytilus californianus,38.616162,-123.374748
M22P000507,7/15/22,Muir Beach,MUSW,n,,Marin,"Sea Mussel, wild",Mytilus californianus,37.859779,-122.578138
M22P00051,1/13/22,"Bodega Harbor, USCG Dock",MUSS,<,35,Sonoma,"Sea Mussel, Sentinel",Mytilus californianus,38.3127654,-123.051303
M22P000510,7/14/22,"Jenner, Russian Gulch Beach",MUSW,n,,Sonoma,"Sea Mussel, wild",Mytilus californianus,38.460422,-123.151906
M22P000511,7/20/22,Santa Cruz Wharf,MUSS,n,,Santa Cruz,"Sea Mussel, Sentinel",Mytilus californianus,36.957391,-122.017638
M22P000512,7/25/22,"Tomales Bay, Lease #M430-15-M",MUBS,n,,Marin,"Bay Mussel, Sentinel",Mytilus gallo/trossulus/edulis,38.2176,-122.9437
M22P000513,7/25/22,"Tomales Bay, Lease #M430-06-M",MUBC,n,,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.139,-122.8783
M22P000514,7/25/22,"Tomales Bay, Lease #M430-17",OYPC,<,36,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.20509,-122.93105
M22P000528,8/1/22,"Tomales Bay, Lease #M430-06-M",MUBC,n,,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.139,-122.8783
M22P000529,8/1/22,"Tomales Bay, Lease #M430-15-M",MUBS,n,,Marin,"Bay Mussel, Sentinel",Mytilus gallo/trossulus/edulis,38.2176,-122.9437
M22P00053,1/15/22,Dillon Beach,MUSW,<,37,Marin,"Sea Mussel, wild",Mytilus californianus,38.2423,-122.9681
M22P000530,7/27/22,Santa Cruz Wharf,MUSS,n,,Santa Cruz,"Sea Mussel, Sentinel",Mytilus californianus,36.957391,-122.017638
M22P000531,8/1/22,"Drakes Bay, Chimney Rock LBS",MUSS,n,,Marin,"Sea Mussel, Sentinel",Mytilus californianus,37.994808,-122.973274
M22P000532,7/28/22,"Bodega Harbor, USCG Dock",MUSS,n,,Sonoma,"Sea Mussel, Sentinel",Mytilus californianus,38.3127654,-123.051303
M22P000533,8/1/22,"Tomales Bay, Lease #M430-17",OYPC,<,32,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.20509,-122.93105
M22P000536,8/1/22,"Bodega Bay, Shorttail Gulch",MUSW,n,,Sonoma,"Sea Mussel, wild",Mytilus californianus,38.302938,-123.013176
M22P000538,8/3/22,"Santa Cruz, Davenport Landing",MUSW,n,,Santa Cruz,"Sea Mussel, wild",Mytilus californianus,37.024226,-122.21606
M22P000539,8/3/22,Santa Cruz Wharf,MUSS,n,,Santa Cruz,"Sea Mussel, Sentinel",Mytilus californianus,36.957391,-122.017638
M22P00054,1/24/22,"Tomales Bay, Lease #M430-15-M",MUSS,<,36,Marin,"Sea Mussel, Sentinel",Mytilus californianus,38.2176,-122.9437
M22P000541,8/8/22,"Tomales Bay, Lease #M430-15-M",MUBS,n,,Marin,"Bay Mussel, Sentinel",Mytilus gallo/trossulus/edulis,38.2176,-122.9437
M22P000542,8/8/22,"Tomales Bay, Lease #M430-06-M",MUBC,n,,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.139,-122.8783
M22P000543,8/8/22,"Tomales Bay, Lease #M430-17",OYPC,<,36,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.20509,-122.93105
M22P00055,1/24/22,"Tomales Bay, Lease #M430-06-M",MUBC,<,34,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.139,-122.8783
M22P000554,8/15/22,"Tomales Bay, Lease #M430-06-M",MUBC,n,,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.139,-122.8783
M22P000555,8/15/22,"Tomales Bay, Lease #M430-17",OYPC,<,36,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.20509,-122.93105
M22P000556,8/15/22,"Tomales Bay, Lease #M430-15-M",MUBS,n,,Marin,"Bay Mussel, Sentinel",Mytilus gallo/trossulus/edulis,38.2176,-122.9437
M22P000557,8/10/22,Santa Cruz Wharf,MUSS,n,,Santa Cruz,"Sea Mussel, Sentinel",Mytilus californianus,36.957391,-122.017638
M22P00056,1/24/22,"Tomales Bay, Lease #M430-17",OYPC,<,35,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.20509,-122.93105
M22P000567,8/16/22,"Monterey Bay, Commercial Wharf",MUSW,n,,Monterey,"Sea Mussel, wild",Mytilus californianus,36.605724,-121.889411
M22P000568,8/16/22,"Drakes Bay, Chimney Rock LBS",MUSS,n,,Marin,"Sea Mussel, Sentinel",Mytilus californianus,37.994808,-122.973274
M22P000569,8/16/22,Bean Hollow State Beach,MUSW,n,,San Mateo,"Sea Mussel, wild",Mytilus californianus,37.2243,-122.4095
M22P000570,8/17/22,"Bodega Harbor, USCG Dock",MUSS,n,,Sonoma,"Sea Mussel, Sentinel",Mytilus californianus,38.3127654,-123.051303
M22P000572,8/16/22,Kashia Coastal Reserve,MUSW,n,,Sonoma,"Sea Mussel, wild",Mytilus californianus,38.616162,-123.374748
M22P000574,8/14/22,"Stinson Beach, Red Rock Beach",MUSW,n,,Marin,"Sea Mussel, wild",Mytilus californianus,37.888778,-122.633123
M22P000575,8/17/22,Schoolhouse Beach,MUSW,n,,Sonoma,"Sea Mussel, wild",Mytilus californianus,38.375,-123.079084
M22P000576,8/17/22,Santa Cruz Wharf,MUSS,n,,Santa Cruz,"Sea Mussel, Sentinel",Mytilus californianus,36.957391,-122.017638
M22P000577,8/21/22,"Tomales Bay, Lease #M430-15-M",MUBS,n,,Marin,"Bay Mussel, Sentinel",Mytilus gallo/trossulus/edulis,38.2176,-122.9437
M22P000578,8/22/22,"Tomales Bay, Lease #M430-06-M",MUBC,n,,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.139,-122.8783
M22P000579,8/22/22,"Tomales Bay, Lease #M430-17",OYPC,<,36,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.20509,-122.93105
M22P000580,8/18/22,Marina Bay Boat Launch,MUBW,n,,Contra Costa,"Bay Mussel, wild",Mytilus gallo/trossulus/edulis,37.914011,-122.354131
M22P000581,8/22/22,San Francisco Marina,MUBW,n,,San Francisco,"Bay Mussel, wild",Mytilus gallo/trossulus/edulis,37.807328,-122.441216
M22P000582,8/22/22,Richardson Bay,MUBW,n,,Marin,"Bay Mussel, wild",Mytilus gallo/trossulus/edulis,37.8826,-122.4761
M22P000590,8/24/22,Santa Cruz Wharf,MUSS,n,,Santa Cruz,"Sea Mussel, Sentinel",Mytilus californianus,36.957391,-122.017638
M22P000591,8/29/22,"Tomales Bay, Lease #M430-15-M",MUBS,n,,Marin,"Bay Mussel, Sentinel",Mytilus gallo/trossulus/edulis,38.2176,-122.9437
M22P000592,8/29/22,"Tomales Bay, Lease #M430-06-M",MUBC,n,,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.139,-122.8783
M22P000593,8/29/22,"Tomales Bay, Lease #M430-17",OYPC,,37,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.20509,-122.93105
M22P000597,8/29/22,"Drakes Bay, Chimney Rock LBS",MUSS,,40,Marin,"Sea Mussel, Sentinel",Mytilus californianus,37.994808,-122.973274
M22P000601,9/1/22,"Tomales Bay, Lease #M430-17",OYPC,<,34,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.20509,-122.93105
M22P000602,9/1/22,"Tomales Bay, Lease #M430-14",OYPC,,40,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.174389,-122.906899
M22P000609,8/30/22,Bean Hollow State Beach,MUSW,,142,San Mateo,"Sea Mussel, wild",Mytilus californianus,37.2243,-122.4095
